time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-2.3895089218053e-20,-1.3552527156069e-20,-1.0342562061984e-20,63.32457803061,-5.0821976835258e-20,0.0050792669622776,0,0.00090907943725982,4.1676064549075e-05,0.030381810801015,0.0079810210428853,0.0075954527002538,0.0026568197060272
1,-1.0116114489058e-17,-9.5409791178724e-18,-5.7513537118567e-19,112.00644993197,-1.337634430304e-17,0.018121397871434,0,0.0049761057853827,0.00010411119831156,0.018982684181356,0.01956535078091,0.019936576445847,0.0088802433876752
1.5,-6.718089355217e-16,-5.8964335150624e-16,-8.2165584015456e-17,99.273357698685,-7.9705122710272e-16,0.028256187652119,0,0.010310353975979,0.00015946597041803,0.020442736178389,0.029720766106971,0.029792931535783,0.013606889072015
2,8.5033593529146e-14,7.8909589366211e-14,6.1240041629353e-15,97.739487455955,1.2597366726153e-13,0.038941417516174,0,0.015658725844656,0.0002172663975736,0.023555256739516,0.040597088793772,0.040792429765259,0.01903875053225
2.5,1.1833878674753e-11,1.0410942398974e-11,1.4229362757794e-12,102.18223989623,1.6496042487719e-11,0.050007384922686,0,0.021023858042308,0.00027486437290544,0.020076495562257,0.051371069802997,0.051700367840703,0.024381095380701
3,5.7243977675983e-10,4.8274190829652e-10,8.9697868463313e-11,98.682395647465,7.8405995400637e-10,0.06049744300831,0,0.02640578670303,0.000331595531428,0.022067161238906,0.061946240478405,0.062236282040994,0.029527657178597
3.5,1.4739292184772e-08,1.1841097358059e-08,2.8981948267131e-09,100.27222704807,1.9940314920032e-08,0.071439728280803,0,0.031803137381111,0.00038934232100903,0.02181288479278,0.072802919670366,0.073206293548915,0.034949250581948
4,2.2955426262041e-07,1.7352094023692e-07,5.6033322383489e-08,100.27568093754,3.0632668162299e-07,0.082224089252409,0,0.037215271550174,0.00044637337184409,0.021179198183084,0.083502447737308,0.083954314292881,0.040204689820105
4.5,2.3039909507086e-06,1.6063547502916e-06,6.9763620041701e-07,99.508893581437,3.0155055753482e-06,0.092978665120676,0,0.042641642883752,0.00050363498902435,0.021986413561588,0.094254691637005,0.094745717229049,0.04550700461381
5,1.5478205309407e-05,9.64089960032e-06,5.837305709087e-06,100.2824615294,1.9648020270629e-05,0.10387262878732,0,0.048077571230066,0.00056102504915718,0.021561773904974,0.10506247092059,0.10563276409569,0.050866310278389
5.5,7.1470076697522e-05,3.7749408668816e-05,3.3720668028705e-05,99.882342503933,8.6263858903758e-05,0.11467245565829,0,0.053506208067357,0.00061815043949294,0.021645590422631,0.11581977419062,0.11643460517759,0.05620002353123
6,0.00023250083585904,9.5547057441588e-05,0.00013695377841746,99.897941483948,0.00025817244035655,0.12552864836699,2.3245659453671e-07,0.058890807127155,0.00067547318067313,0.021837806736469,0.12663164384171,0.12730545446737,0.061662049995595
6.5,0.00053468475135758,0.00015377837806877,0.00038090637328881,100.08431756546,0.00053633276810641,0.13640718218206,2.043783060591e-05,0.064169255774185,0.00073273820566205,0.021666262935303,0.13744566078222,0.13818147188531,0.067261786028206
7,0.0008820341245406,0.00016103688923074,0.00072099723530986,99.887221224344,0.00081520071346747,0.14726625222597,0.00013670498369447,0.069287489299058,0.00078997465615749,0.02180464088257,0.14826167007458,0.14904919783978,0.07294113913722
7.5,0.0012175356373885,0.00013906531955365,0.0010784703178349,99.990979855026,0.0010248510513307,0.15816569508185,0.00034174367049706,0.074257291925564,0.00084733685472933,0.021817458611606,0.15910671893338,0.15995472271332,0.078681070478079
8,0.0015349258048231,0.00014568571204362,0.0013892400927795,99.98773964425,0.0012303558425779,0.16906644195121,0.00053632987301877,0.079107856929337,0.00090483270518519,0.021797587466099,0.16995352525635,0.17085848423275,0.084571587679605
8.5,0.0017066028086954,0.00015548577078723,0.0015511170379082,99.94259088903,0.0014565895202188,0.17997627307104,0.00070814217756141,0.083828157830975,0.00096286980334985,0.021872117768312,0.18081490372839,0.18177591054135,0.090604709469027
9,0.0018208309632117,0.00015707752747786,0.0016637534357338,100.00630842241,0.0016760804953323,0.19090129440012,0.00095317565759007,0.088425244068299,0.0010223100394463,0.021856958423508,0.19168830401015,0.19270817958931,0.096696216572532
9.5,0.0019776899747691,0.00017240799891422,0.0018052819758549,100.00005200953,0.0019032620119963,0.20180495342082,0.0013431980140043,0.092980178831154,0.0010849761068744,0.021858420862257,0.2025605285757,0.20363702441075,0.10264271109588
10,0.0021135995663243,0.00018243066605569,0.0019311689002686,100.03238527738,0.0021255218915707,0.21263085425746,0.0018725120474728,0.097656707152027,0.0011543550020034,0.021845323025933,0.21342891705545,0.21456296038279,0.10809111089496
10.5,0.0022898331198899,0.00018928556419799,0.0021005475556919,100.08170797519,0.0023422869260399,0.2232079996364,0.0024830523887058,0.10295797209418,0.0012359407489456,0.021776552892505,0.22427663133003,0.2254684293624,0.1124817421005
11,0.0024997027990005,0.00018833753764493,0.0023113652613556,100.09908836282,0.0025576203663945,0.23324045080397,0.0031350364096012,0.10985526079125,0.0013369026733944,0.021871722626499,0.2350897880618,0.23638049824215,0.11466670240549
11.5,0.0026098415560715,0.00017866123851515,0.0024311803175564,100.13302451186,0.0027700565687346,0.24248945531577,0.0038686407961115,0.11952034239295,0.0014641779417866,0.029602819130962,0.24585826604843,0.24924913368152,0.11339382684574
12,0.0026646055142381,0.00017072981666312,0.002493875697575,100.16465152601,0.0029890658657175,0.25119402850214,0.0047474685870064,0.13222916659227,0.0016209835715209,0.038428314432504,0.25656847259657,0.26625691707239,0.10919282520862
12.5,0.0028033134307587,0.00017204201488196,0.0026312714158767,100.20876423911,0.0032179865394007,0.26030785768324,0.0057798114703401,0.1463670901127,0.0018032042858322,0.044144765454055,0.26720629852105,0.28690018704403,0.10470989886385
13,0.0029455845985195,0.00018766175200422,0.0027579228465152,100.25979469103,0.0034568498255751,0.27078857110063,0.0069311708535868,0.15972914920134,0.00199839416851,0.044531767834597,0.27775293913725,0.30906932036619,0.10146430156663
13.5,0.0030499012282303,0.00020536232029726,0.002844538907933,100.24586724356,0.0036933529105617,0.28246215339242,0.0081911799845551,0.1722083569536,0.002189846110019,0.040010620907599,0.28819766182748,0.33020491755174,0.098139989958563
14,0.0031134242570693,0.00020070992229076,0.0029127143347785,100.11861512844,0.0039069742587208,0.29416914777911,0.0095391823345376,0.18531845035832,0.0023648340770739,0.034025588314416,0.29856193840694,0.34871396985724,0.093499243052595
14.5,0.0031324983414741,0.00016108634254226,0.0029714119989318,99.904440949739,0.0040892656477807,0.30506652333745,0.010949414527079,0.19894042972993,0.0025217957395138,0.030863902924965,0.30890782842527,0.36493634266709,0.089027520156231
15,0.0031337161801725,0.00011489018617075,0.0030188259940018,99.737275537382,0.0042721106351665,0.31511544612656,0.012392087870611,0.21179154914486,0.0026702633040503,0.03249472548141,0.3193132646313,0.38077599976868,0.085614080067165
15.5,0.0031686051827557,0.00011537893638308,0.0030532262463726,99.752599322612,0.0045151836617484,0.32482559858675,0.013828806922154,0.224200423539,0.0028225207497469,0.036821269144052,0.32981948029246,0.39810499842505,0.082167685328061
16,0.0033359244116212,0.00018009757122694,0.0031558268403943,99.900800284797,0.0048506349259771,0.33508808333987,0.015160438244341,0.23681037484232,0.0029838276655073,0.039568603521542,0.34040391046436,0.41720246659144,0.078902784460154
16.5,0.0034398869228865,0.00025280016127971,0.0031870867616068,99.95775264882,0.0052475388932845,0.34627906242329,0.016305667332469,0.24929541080689,0.0031501532610345,0.038726521599327,0.35102283956006,0.43677624787166,0.075938763665721
17,0.0034476027731861,0.0002529303189381,0.003194672454248,99.773819190226,0.0056481769161568,0.35772544823255,0.01725309605063,0.26187281214879,0.0033149004382697,0.03629977192206,0.36168723493684,0.45553282125201,0.072833351265341
17.5,0.0033815672785612,0.00017411242666527,0.0032074548518959,99.475171799023,0.0060406085615981,0.36875628331795,0.018009631652417,0.27487719437218,0.0034765058105379,0.035433080786613,0.37248343350796,0.47346603442918,0.069691536300966
18,0.0034867330853649,9.3622572680119e-05,0.0033931105126848,99.301301791431,0.0064567947092077,0.37947031606012,0.018552601251623,0.28813832346386,0.0036385693499149,0.036791311802897,0.38351083070503,0.49152213257655,0.067290869624658
18.5,0.0033471206242829,7.4391562386883e-05,0.003272729061896,99.245708600826,0.0069018301255159,0.39046422099995,0.018989045333989,0.30169138610103,0.0038040001382743,0.038443733764321,0.3948246248724,0.51033089396836,0.063946430644215
19,0.0033150007698909,9.5256665649851e-05,0.003219744104241,99.020210212334,0.0073402410476253,0.40215809242687,0.019458407232953,0.31542714047985,0.0039718894757524,0.038680997404528,0.40647572568018,0.52961207676057,0.061420162957006
19.5,0.0033846834084226,8.6800640434408e-05,0.0032978827679882,98.402769822528,0.0077471156771876,0.41442334273488,0.020018843527174,0.32910847439676,0.0041409515006034,0.038184186420462,0.41861046697444,0.54882837271682,0.059434379198894
20,0.003369365220561,1.2596781220165e-05,0.0033567684393408,97.442942399466,0.0081283867845207,0.42712413927087,0.020673199680334,0.34258065051974,0.0043138118195733,0.038497947002647,0.43151998967028,0.5679989060726,0.058394164686675
20.5,0.0034074577249559,-0.00010681312592761,0.0035142708508835,96.260985268939,0.0084961952058426,0.44062877658055,0.021349427976741,0.35591520306944,0.0044959765373831,0.039802643296332,0.44561620893831,0.58757405364734,0.058379407094828
21,0.0034265919952963,-0.00024049697035333,0.0036670889656496,94.863264330504,0.0088612674264691,0.45561095629445,0.022000515360823,0.36971170919343,0.0046917509033221,0.041315653087565,0.46140398998524,0.60785362774331,0.05927630245502
21.5,0.0032493775737575,-0.00039280234777644,0.003642179921534,93.346227376871,0.0092374132488577,0.4726058930275,0.022695223083973,0.38482978308267,0.0049033430164948,0.042730041657567,0.47946326508684,0.6288650514296,0.060724641776402
22,0.0031866949302123,-0.000579350012508,0.0037660449427203,92.162225314196,0.0096382221272945,0.49194601044215,0.02351740174033,0.40195771029926,0.0051334614612178,0.045430957277499,0.50035689886401,0.65090530116336,0.062631397391295
22.5,0.0032664299318719,-0.00077026279118775,0.0040366927230596,91.97853067156,0.010099109480477,0.51401119970692,0.024522798183278,0.42134081685042,0.0053860668966187,0.051695240161717,0.52442215420811,0.67518685052317,0.065365785628218
23,0.0034480571966432,-0.00091397871102589,0.0043620359076691,93.260314200862,0.01067111686328,0.53918690199627,0.025731273595023,0.44245797014743,0.0056631067536232,0.057465845253794,0.55153720159857,0.70247712187705,0.069747040935472
23.5,0.0037139859602499,-0.001004352496293,0.0047183384565428,95.990336697657,0.011356689619461,0.56744647385277,0.02712786318126,0.46409955663485,0.0059611023807572,0.061227240734779,0.5810023879123,0.73215039337419,0.076419908344481
24,0.0040098894865588,-0.0010832166943397,0.0050931061808985,99.582645200481,0.012095219715616,0.59801047478281,0.028641314518103,0.48536398851675,0.0062713022143598,0.062157342332468,0.61162087956726,0.762996539141,0.084621140937618
24.5,0.0042266259306803,-0.0012271357478499,0.0054537616785302,102.8916141572,0.01279550442739,0.62941585899247,0.030240398860531,0.50649936420971,0.0065827078407714,0.060281048481881,0.64200466980233,0.79360613684459,0.092181709564213
25,0.004265919803001,-0.0015498804896445,0.0058158002926455,104.52184286037,0.013345386017005,0.66000188005535,0.031928182189282,0.52840150625256,0.0068857305458637,0.056749731764193,0.6710616658296,0.82286383190611,0.097168125170327
25.5,0.0039840431963369,-0.002140484466035,0.0061245276623719,103.60114020726,0.013667527156734,0.68867067015596,0.033769790493739,0.55134904744622,0.0071756363719295,0.053553942225903,0.69847567559281,0.85043975040363,0.099399688228153
26,0.003588521646701,-0.0029603200942907,0.0065488417409916,100.5503546472,0.013821926702027,0.7154770558152,0.035814422322379,0.57457739512525,0.0074549213224613,0.052565225442676,0.72487656265661,0.87696954232078,0.10078489944348
26.5,0.0032511541825611,-0.0038247503946198,0.0070759045771809,97.091334294281,0.014019018213815,0.741558903017,0.038038621861631,0.59755861589224,0.0077326496426553,0.054427525992499,0.75150454929011,0.90371773017957,0.10233974904534
27,0.0031888448487374,-0.0045236485030892,0.0077124933518266,95.293353821002,0.014496340855714,0.7684790472289,0.040412508424665,0.62094110377069,0.0080200678146322,0.058092708980838,0.77949371725563,0.9318477889229,0.10419274015279
27.5,0.0034766429222345,-0.0049941225163496,0.0084707654385841,96.227590302719,0.015348074044915,0.79739182912637,0.042927430325497,0.64535820958661,0.0083295702788694,0.061428634206255,0.80919587321298,0.96172812471968,0.10658654362264
28,0.0039009915356513,-0.0054036540282884,0.0093046455639397,99.135755319022,0.016429019314388,0.82833553069912,0.045573629234,0.6704584933251,0.0086619093237113,0.062623999500464,0.84000053537703,0.99274128314636,0.10959309547622
28.5,0.0041012647553525,-0.006066117019943,0.010167381775295,101.83974654911,0.017412090779136,0.86011366594088,0.048302947438656,0.69587073150364,0.0089920787858935,0.061475367746809,0.87081215760305,1.0237661249582,0.11218241407228
29,0.0038544940722062,-0.0071964000305263,0.011050894102733,102.34237160816,0.018015787841282,0.89118324297165,0.051036443187998,0.72175348739754,0.0093347774885689,0.059524253822807,0.90086870890018,1.0540160303506,0.11345188554771
29.5,0.0032564991272487,-0.0086668089389134,0.011923308066162,100.44319455586,0.018263490326775,0.92089308776841,0.053700755928393,0.74805402354837,0.0096904885884441,0.058799362294542,0.93027979473724,1.0835969343799,0.11388326723553
30,0.002659070911181,-0.010036055749452,0.012695126660633,97.868536493421,0.018498937919103,0.94983721194061,0.056249871457664,0.77454728300828,0.010055962005217,0.060172347451799,0.95985704045102,1.1133398618165,0.11440630325626
30.5,0.0023746699866131,-0.010898174709814,0.013272844696427,96.668998128608,0.019074793594033,0.9791715456117,0.058665314321534,0.80145666818989,0.010434161982481,0.062795662278048,0.99041372537292,1.144081864249,0.11542221869377
31,0.0023834350321919,-0.011234211258887,0.013617646291079,97.374273067716,0.020005678466934,1.0096623473731,0.0609472471757,0.8290499356843,0.010825565552386,0.065104051221257,1.0221776006255,1.1760567926238,0.11709223579098
31.5,0.0023781179128738,-0.011402685598933,0.013780803511807,98.691622453693,0.020963229125482,1.0411660169701,0.063134829567411,0.85730422476817,0.011227457494133,0.066349087164831,1.0548198753593,1.2089200772203,0.1190846460901
32,0.0021366021654281,-0.011778900717811,0.013915502883239,98.97714493881,0.021638923100101,1.0729777984083,0.065314032472692,0.88648150248246,0.01163655552097,0.067161735141088,1.0879866394727,1.2422977827968,0.12040693224697
32.5,0.0017683374040955,-0.01242794330516,0.014196280709256,97.908144786538,0.022082290973881,1.1047286360326,0.067585913824107,0.91723730641822,0.012052284460071,0.06904487496337,1.1217498390001,1.2763494353229,0.12029044489364
33,0.0015949099424289,-0.013130966591439,0.014725876533867,96.648381225773,0.022643240659817,1.1368560386171,0.070005317276268,0.95012239040738,0.012477646258476,0.072991602571492,1.1565392999809,1.3118585547066,0.11875496994775
33.5,0.0018262563174389,-0.013676918731491,0.01550317504893,96.481420471168,0.023607958228007,1.170253566218,0.072540550480052,0.98516063580852,0.012917203742745,0.078236441361062,1.1926896159967,1.3496655656898,0.1164952050151
34,0.0023526571734503,-0.014075994357112,0.016428651530562,97.518226241688,0.024949606036547,1.2055614397038,0.075099093067079,1.0217678593286,0.013374241219495,0.082469641901692,1.2301061481995,1.3898420865054,0.11432228683402
34.5,0.0028973410556246,-0.01449871992794,0.017396060983565,98.828166595869,0.026422151654437,1.2427682717377,0.077597651644218,1.0591576333454,0.013849181464631,0.084916358849612,1.2683536716111,1.4316885866933,0.1126079481284
35,0.0032675551603612,-0.01506203456058,0.018329589720941,99.601973457629,0.027816859542908,1.2814103471286,0.080015341196732,1.0968291637746,0.014339507712579,0.085463808343287,1.3069886574671,1.4742836284915,0.11118945024078
35.5,0.0034948345657393,-0.015731572928517,0.019226407494256,99.869248450762,0.029075980150965,1.3209672412762,0.082378211725234,1.1348301364787,0.014840363288556,0.084566050981135,1.3457592183344,1.5167910933226,0.10943474024822
36,0.0035750465691556,-0.016450839315048,0.020025885884204,100.06579571083,0.030184012446767,1.3609627898546,0.084734732610197,1.1736563484745,0.015345672983678,0.08294909391039,1.3845511030218,1.5586698795455,0.1066443018633
36.5,0.0033994616811451,-0.017295320805698,0.020694782486843,100.24352339786,0.031045524510837,1.4008622215602,0.087072955422489,1.2134592842109,0.01585032339181,0.081429745900186,1.423282638866,1.5997645894981,0.10299510311108
37,0.0028636835317069,-0.018387102846419,0.021250786378126,100.02521045162,0.031579416676916,1.4401442052373,0.089326101356577,1.2536624910388,0.016352966138832,0.080914287317657,1.4619427936379,1.6403505978026,0.099477315416305
37.5,0.0021849555726687,-0.019659449477526,0.021844405050195,99.271686300205,0.031938663575362,1.4786257492037,0.091435974015309,1.2935900801556,0.016857395484719,0.08205785484749,1.5006965070635,1.6810936333439,0.09656649281712
38,0.0017328804831871,-0.020825398229792,0.022558278712979,98.461769732224,0.032515377211125,1.5167088853387,0.093356366914544,1.3335206416567,0.017370676990829,0.084745039246169,1.5398491324514,1.7227943568673,0.093803191322505
38.5,0.0018328448821366,-0.021630316452322,0.023463161334459,98.239704728328,0.033637652686159,1.5552201218353,0.095042808964634,1.37422093662,0.017898695878925,0.087997383674003,1.5796402396839,1.7659799625973,0.090981415388354
39,0.0022788337163829,-0.022087185135926,0.024366018852309,98.718532513364,0.035277262555533,1.5948872083129,0.09651824611142,1.4158905525384,0.018442097964313,0.090543830418771,1.6200688848712,1.8106152661205,0.087982590830765
39.5,0.0027519270527451,-0.02245406619105,0.025205993243795,99.374561867208,0.037065765430915,1.6358471741988,0.097880016283376,1.4581826691213,0.018995362325149,0.091629316331528,1.6609338099206,1.8561585528081,0.0851726318969
40,0.0029076230897532,-0.02302211927821,0.025929742367963,99.545789378541,0.03856501284128,1.6776048332433,0.099241283236407,1.5008026724063,0.019549437215046,0.091563381518821,1.7020506523989,1.9019567272707,0.082352857982205
40.5,0.0024020569187277,-0.023913361089024,0.026315418007751,98.910474792482,0.039546572593333,1.7194656350766,0.10071142570244,1.5437764909987,0.020096275670766,0.091422190282883,1.7434628648685,1.9477031202211,0.079198003490279
41,0.001435424385395,-0.02498945264294,0.026424877028335,97.596025208906,0.040116250076397,1.7610560892788,0.10234834805752,1.5871271803389,0.020633013066562,0.092462718720821,1.7855112272152,1.993674347472,0.076292898593254
41.5,0.00049444018622022,-0.025877712876512,0.026372153062732,96.06653872366,0.040652720806142,1.802589031555,0.10415029288754,1.6307868369273,0.021163985336639,0.095112008931635,1.8287429326739,2.0405680293852,0.074009931983687
42,-3.8858722433532e-05,-0.0261411172191,0.026102258496666,94.921874085997,0.041584364884802,1.8448184903803,0.10609474526174,1.6750091672683,0.021699659140796,0.098911804256939,1.8744117857716,2.0890739826823,0.072544357076437
42.5,8.709017192917e-05,-0.025569808911141,0.02565689908307,94.562025266623,0.043105950792944,1.8887207030686,0.10811214363657,1.7202133659127,0.022252849671675,0.10291384145398,1.9239970485172,2.13953039411,0.071985165732751
43,0.00063665268140577,-0.024378959453643,0.025015612135049,94.873885380992,0.045048567917064,1.9349830770328,0.1101137230832,1.7667022218561,0.022834048187085,0.10638788396694,1.9758392185101,2.1918558254653,0.072171108935647
43.5,0.0010204354695593,-0.023060467018052,0.024080902487612,95.32037080567,0.047052532132519,1.9836583895247,0.11201437409795,1.8148209813716,0.023448147026079,0.10927658249356,2.0293443328605,2.2457719420804,0.072649172137968
44,0.0008966018542018,-0.021947964548452,0.022844566402654,95.474726627062,0.048913992354246,2.0343716054086,0.11377151304092,1.8648232128699,0.024093671740624,0.11203306813439,2.0842320647569,2.3010993547374,0.073285032137001
44.5,0.00062071824071264,-0.020898182247432,0.021518900488145,95.479668893056,0.050776466145786,2.0868836525188,0.11536723820094,1.9164177940038,0.02476382577556,0.1149975476733,2.1404099540325,2.3578570086893,0.074767798808991
45,0.00053074205502763,-0.019427150510656,0.019957892565684,95.909806715673,0.052974461978529,2.1413885271684,0.11683738555542,1.9690511302165,0.02544796970947,0.11791828421346,2.1979643254919,2.416085966661,0.077192022047571
45.5,0.0010566706700663,-0.017209381050291,0.018266051720357,97.14030809434,0.055667545450443,2.198234069003,0.11828186167313,2.0223688930992,0.026133027653052,0.12017022423512,2.2568055384228,2.4756080937731,0.080517562504715
46,0.0019686405135864,-0.014469138982004,0.01643777949559,98.865346845188,0.058596051856448,2.2573326055572,0.1197833008813,2.0764127411019,0.0268054168488,0.12114599894686,2.3163879118145,2.5359371495686,0.083825209756952
46.5,0.0028305227923184,-0.01185018704355,0.014680709835868,100.27131769064,0.061202075647447,2.3178561306542,0.12140465270438,2.1313021233538,0.02745400339476,0.12088124614944,2.3763016268281,2.5964439608427,0.086607557496429
47,0.0030326192327836,-0.009884416908023,0.012917036140807,100.68783488995,0.063037791251797,2.3785968405656,0.12315197485695,2.1870519107089,0.028073362466147,0.12003590182465,2.4359155470309,2.6566732478362,0.088183519822321
47.5,0.0026138737078773,-0.008632356176698,0.011246229884575,100.05711235371,0.06407693222435,2.4386778573441,0.12500644318301,2.243829317584,0.028665624438369,0.11944770820541,2.4950687706387,2.7165441503437,0.088291111184867
48,0.0018099347284392,-0.0078205416292232,0.0096304763576624,98.836734594146,0.064647059794453,2.4979695225852,0.12693924368033,2.301865713627,0.029239566604754,0.11974693032976,2.5541440092933,2.7763428099775,0.087040119674994
48.5,0.00094449545910372,-0.0071716206810346,0.0081161161401383,97.602123933339,0.065139625627925,2.5569834888733,0.12893030568857,2.3615302025902,0.029807174363964,0.12124231211473,2.6134517836203,2.8365901205887,0.084593002929427
49,0.00037784513184636,-0.006525197255287,0.0069030423871333,96.789042283227,0.065824978574698,2.6164977239333,0.13097337930341,2.4231437466485,0.030379364367216,0.12375174413066,2.6732921013596,2.89783863465,0.081080289509108
49.5,0.00028365453059036,-0.0057852980357399,0.0060689525663303,96.631162420064,0.066834501594048,2.6772140122408,0.13305790813814,2.486854237542,0.030962806396196,0.12651100624866,2.7341246767275,2.9604043222448,0.076851107841388
50,0.00066472224509424,-0.0049193202705994,0.0055840425156936,97.114924830592,0.068169603092009,2.7395473578468,0.13517036752591,2.5521474158458,0.031558841275461,0.12897175529994,2.7959623412479,3.024275012632,0.072772693501155
50.5,0.0013646725182109,-0.0040245752796605,0.0053892477978714,97.950315944841,0.069690768888799,2.8035153722742,0.13730678333002,2.6181003035244,0.032164372339364,0.13078834619544,2.8586249001914,3.0892150380058,0.069401417148033
51,0.0020146284077278,-0.0033427083571768,0.0053573367649047,98.668740764354,0.071141889385631,2.8687297371179,0.13946132361905,2.6842782867091,0.032774108825189,0.13197739087668,2.9224093336304,3.1549064722739,0.066504414382257
51.5,0.0022011884800699,-0.0031791690422771,0.0053803575223469,98.817640239726,0.072228986018037,2.9345439565274,0.14160975589535,2.7509643333915,0.03338349769594,0.13293562729668,2.9868742152355,3.2211347268172,0.063427696302683
52,0.0017420402991545,-0.0037401456826635,0.005482185981818,98.151441211666,0.07275235788956,3.0003480125415,0.14372837907326,2.8184402807676,0.033991488687745,0.13430048880377,3.0523164447301,3.2879437558423,0.06020007487045
52.5,0.0007410460895251,-0.0049234886899597,0.0056645347794848,96.785508174616,0.072776684806603,3.0658951124074,0.14580664938275,2.8866399467758,0.034601921864677,0.13667971059915,3.1190154180428,3.355688805693,0.057308027138778
53,-0.00034963681477041,-0.0062283853084192,0.0058787484936488,95.24442248824,0.072713145202748,3.1315174642295,0.14783716469115,2.9555152922225,0.035222502806325,0.14031651289482,3.1873133545361,3.4249378615665,0.055205761541998
53.5,-0.00092440122961642,-0.0069713567897642,0.0060469555601478,94.265481029331,0.073147076058852,3.1981127023175,0.14980586072248,3.0253544819682,0.035861459404847,0.14487017462565,3.2577936891573,3.4962345334466,0.053978150447041
54,-0.00056132590837397,-0.0067361152818693,0.0061747893734953,94.364116062419,0.074434998515511,3.2668043131899,0.15169849016605,3.0966473388547,0.036523438869218,0.14952246135357,3.3307523278052,3.5698326924414,0.053436990869653
54.5,0.00041364042921975,-0.0056947854866,0.0061084259158197,95.443248924499,0.076376536568134,3.338343296793,0.15349866153614,3.1697885699841,0.037206834221932,0.15342815745527,3.4058818967493,3.6455703471437,0.053126493853633
55,0.0012815070190932,-0.0044736045541682,0.0057551115732615,96.811549677446,0.078324351442983,3.4126575868551,0.15520210011146,3.2450265791566,0.0379039713037,0.15622746952286,3.4827548160321,3.7229842538882,0.052560448651962
55.5,0.0015916743213222,-0.0036315488484798,0.005223223169802,97.700098428378,0.079728938844103,3.4890119000791,0.15682291782092,3.3220772227566,0.038603996944217,0.15822613078206,3.5609086074046,3.8015976539644,0.051749229669396
56,0.0013742557504766,-0.0032070629989865,0.0045813187494631,97.887928277536,0.080623371871967,3.5666793632211,0.15836579043835,3.4002047512973,0.039296954037746,0.15999085572897,3.6400558200325,3.8811519005922,0.051288715404894
56.5,0.0013273601331735,-0.002777805168648,0.0041051653018215,97.837456459786,0.081546329103532,3.6454713257134,0.15980266270246,3.4787145085344,0.039977112397252,0.16174010416564,3.7200851476913,3.9615846405658,0.051674399893548
57,0.001626332049584,-0.0019971456071127,0.0036234776566968,98.169777441194,0.082956686564954,3.7256482694405,0.16111858463198,3.5574844407815,0.040644189023204,0.16328225089933,3.8009435025668,4.0428402293321,0.052492393843261
57.5,0.0022942594015363,-0.0010305650120551,0.0033248244135914,99.007575088193,0.084726326416843,3.8073569365094,0.16234947287176,3.6368117161836,0.0413022491565,0.16423910907549,3.8824547665763,4.1247205693258,0.053344918458205
58,0.0027600866301268,-0.00042181475184704,0.0031819013819739,99.85285537298,0.086231156248729,3.8901692383311,0.16352620997919,3.7169004484441,0.041957241287838,0.16447685582943,3.9642254833266,4.206899560552,0.053731923438275
58.5,0.002360951491197,-0.00062719266052474,0.0029881441517218,100.06924073192,0.08689752855227,3.9731831272927,0.1646771949131,3.7978382707571,0.042614652000617,0.16442123385745,4.0460073270586,4.2891240829737,0.05324969490743
59,0.0012177665025824,-0.0016574507474777,0.0028752172500601,99.437257315942,0.086658820231966,4.0555896432391,0.16581997485112,3.8796588934391,0.043278335856505,0.16475530869544,4.1278304026356,4.3714182186119,0.052064378519751
59.5,-0.00023901096150367,-0.0029574067977507,0.002718395836247,98.290715846893,0.086045135266954,4.1371994598311,0.16693192106527,3.9624620080015,0.043950525862522,0.16596780277264,4.2100229566375,4.454098996479,0.050253091608669
60,-0.0012721498664615,-0.0036896192480275,0.002417469381566,97.230786166996,0.085864410333709,4.2185504408182,0.16798197825708,4.0463562660137,0.044632229618621,0.16808239383933,4.2931401286151,4.537611545632,0.048277346124407
